Loading data to memory...
Loading data to memory done!
Loading data to scheduler...
Loading data to scheduler done!
Running scheduler...
pushing USDJPY 2014-06-11 17:00:16.627
pushing USDJPY 2014-06-11 17:00:37.597
pushing USDJPY 2014-06-11 17:00:47.237
pushing USDJPY 2014-06-11 17:01:04.080
pushing USDJPY 2014-06-11 17:01:04.347
pushing USDJPY 2014-06-11 17:01:06.470
pushing USDJPY 2014-06-11 17:01:10.610
pushing USDJPY 2014-06-11 17:01:20.237
pushing USDJPY 2014-06-11 17:02:15.237
pushing USDJPY 2014-06-11 17:02:27.250
pushing USDJPY 2014-06-11 17:02:29.330
pushing USDJPY 2014-06-11 17:02:44.783
pushing USDJPY 2014-06-11 17:02:45.830
pushing USDJPY 2014-06-11 17:02:46.157
pushing USDJPY 2014-06-11 17:02:47.187
pushing USDJPY 2014-06-11 17:02:53.033
pushing USDJPY 2014-06-11 17:03:25.017
pushing USDJPY 2014-06-11 17:03:25.360
pushing USDJPY 2014-06-11 17:03:26.390
pushing USDJPY 2014-06-11 17:03:26.720
pushing USDJPY 2014-06-11 17:03:27.423
pushing USDJPY 2014-06-11 17:03:28.437
pushing USDJPY 2014-06-11 17:03:39.453
pushing USDJPY 2014-06-11 17:03:40.487
pushing USDJPY 2014-06-11 17:04:57.140
pushing USDJPY 2014-06-11 17:04:57.483
pushing USDJPY 2014-06-11 17:04:59.530
pushing USDJPY 2014-06-11 17:04:59.890
pushing USDJPY 2014-06-11 17:05:00.923
pushing USDJPY 2014-06-11 17:05:22.923
pushing USDJPY 2014-06-11 17:05:49.047
pushing USDJPY 2014-06-11 17:05:49.377
pushing USDJPY 2014-06-11 17:05:49.733
pushing USDJPY 2014-06-11 17:06:04.517
pushing USDJPY 2014-06-11 17:06:14.140
pushing USDJPY 2014-06-11 17:06:35.453
pushing USDJPY 2014-06-11 17:06:45.420
pushing USDJPY 2014-06-11 17:06:51.267
pushing USDJPY 2014-06-11 17:07:07.420
pushing USDJPY 2014-06-11 17:07:24.953
pushing USDJPY 2014-06-11 17:07:25.297
pushing USDJPY 2014-06-11 17:07:27.360
pushing USDJPY 2014-06-11 17:07:28.047
pushing USDJPY 2014-06-11 17:07:28.373
pushing USDJPY 2014-06-11 17:07:30.437
pushing USDJPY 2014-06-11 17:07:54.843
pushing USDJPY 2014-06-11 17:07:59.657
pushing USDJPY 2014-06-11 17:08:01.390
pushing USDJPY 2014-06-11 17:08:06.890
pushing USDJPY 2014-06-11 17:08:30.937
pushing USDJPY 2014-06-11 17:08:31.280
pushing USDJPY 2014-06-11 17:08:31.623
pushing USDJPY 2014-06-11 17:08:37.157
pushing USDJPY 2014-06-11 17:08:37.483
pushing USDJPY 2014-06-11 17:08:53.297
pushing USDJPY 2014-06-11 17:08:55.687
pushing USDJPY 2014-06-11 17:08:56.390
pushing USDJPY 2014-06-11 17:08:58.093
pushing USDJPY 2014-06-11 17:08:58.453
pushing USDJPY 2014-06-11 17:09:02.937
pushing USDJPY 2014-06-11 17:09:03.250
pushing USDJPY 2014-06-11 17:09:39.700
pushing USDJPY 2014-06-11 17:09:48.640
pushing USDJPY 2014-06-11 17:09:48.983
pushing USDJPY 2014-06-11 17:09:51.047
pushing USDJPY 2014-06-11 17:09:51.390
pushing USDJPY 2014-06-11 17:09:51.733
pushing USDJPY 2014-06-11 17:09:52.420
pushing USDJPY 2014-06-11 17:10:01.013
pushing USDJPY 2014-06-11 17:10:03.763
pushing USDJPY 2014-06-11 17:10:04.437
pushing USDJPY 2014-06-11 17:10:18.873
pushing USDJPY 2014-06-11 17:10:30.577
pushing USDJPY 2014-06-11 17:11:01.170
pushing USDJPY 2014-06-11 17:11:59.247
pushing USDJPY 2014-06-11 17:11:59.590
pushing USDJPY 2014-06-11 17:11:59.937
pushing USDJPY 2014-06-11 17:12:22.983
pushing USDJPY 2014-06-11 17:12:23.327
pushing USDJPY 2014-06-11 17:12:23.670
pushing USDJPY 2014-06-11 17:12:32.950
pushing USDJPY 2014-06-11 17:12:33.293
pushing USDJPY 2014-06-11 17:12:33.637
pushing USDJPY 2014-06-11 17:12:40.170
pushing USDJPY 2014-06-11 17:12:40.513
pushing USDJPY 2014-06-11 17:13:00.793
pushing USDJPY 2014-06-11 17:13:01.137
pushing USDJPY 2014-06-11 17:13:01.467
pushing USDJPY 2014-06-11 17:13:04.560
pushing USDJPY 2014-06-11 17:13:06.980
pushing USDJPY 2014-06-11 17:13:07.327
pushing USDJPY 2014-06-11 17:13:08.340
pushing USDJPY 2014-06-11 17:13:09.387
pushing USDJPY 2014-06-11 17:13:17.293
pushing USDJPY 2014-06-11 17:13:17.623
pushing USDJPY 2014-06-11 17:13:42.043
pushing USDJPY 2014-06-11 17:13:42.387
pushing USDJPY 2014-06-11 17:13:45.480
pushing USDJPY 2014-06-11 17:14:01.293
pushing USDJPY 2014-06-11 17:14:07.827
pushing USDJPY 2014-06-11 17:14:08.153
pushing USDJPY 2014-06-11 17:14:10.917
pushing USDJPY 2014-06-11 17:14:11.263
pushing USDJPY 2014-06-11 17:14:13.667
pushing USDJPY 2014-06-11 17:14:14.357
pushing USDJPY 2014-06-11 17:14:15.387
pushing USDJPY 2014-06-11 17:14:17.107
pushing USDJPY 2014-06-11 17:14:17.433
pushing USDJPY 2014-06-11 17:14:18.810
pushing USDJPY 2014-06-11 17:14:19.167
pushing USDJPY 2014-06-11 17:14:19.857
pushing USDJPY 2014-06-11 17:14:20.183
pushing USDJPY 2014-06-11 17:14:22.247
pushing USDJPY 2014-06-11 17:14:34.637
pushing USDJPY 2014-06-11 17:14:34.967
pushing USDJPY 2014-06-11 17:14:36.357
pushing USDJPY 2014-06-11 17:14:37.730
pushing USDJPY 2014-06-11 17:14:38.763
pushing USDJPY 2014-06-11 17:14:45.293
pushing USDJPY 2014-06-11 17:14:45.967
pushing USDJPY 2014-06-11 17:14:49.073
pushing USDJPY 2014-06-11 17:15:22.747
pushing USDJPY 2014-06-11 17:15:31.700
pushing USDJPY 2014-06-11 17:15:34.090
pushing USDJPY 2014-06-11 17:15:34.433
pushing USDJPY 2014-06-11 17:15:34.777
pushing USDJPY 2014-06-11 17:15:38.230
pushing USDJPY 2014-06-11 17:15:56.793
pushing USDJPY 2014-06-11 17:16:02.293
pushing USDJPY 2014-06-11 17:16:02.620
pushing USDJPY 2014-06-11 17:16:24.293
pushing USDJPY 2014-06-11 17:16:24.637
pushing USDJPY 2014-06-11 17:16:26.357
pushing USDJPY 2014-06-11 17:16:27.043
pushing USDJPY 2014-06-11 17:16:28.057
pushing USDJPY 2014-06-11 17:16:45.950
pushing USDJPY 2014-06-11 17:16:46.980
pushing USDJPY 2014-06-11 17:16:52.480
pushing USDJPY 2014-06-11 17:16:52.823
pushing USDJPY 2014-06-11 17:16:53.510
pushing USDJPY 2014-06-11 17:17:03.480
pushing USDJPY 2014-06-11 17:17:07.260
pushing USDJPY 2014-06-11 17:17:07.607
pushing USDJPY 2014-06-11 17:17:07.950
pushing USDJPY 2014-06-11 17:17:08.293
pushing USDJPY 2014-06-11 17:17:08.980
pushing USDJPY 2014-06-11 17:17:09.323
pushing USDJPY 2014-06-11 17:17:11.043
pushing USDJPY 2014-06-11 17:17:12.073
pushing USDJPY 2014-06-11 17:17:15.510
pushing USDJPY 2014-06-11 17:17:15.857
pushing USDJPY 2014-06-11 17:17:16.527
pushing USDJPY 2014-06-11 17:17:18.590
pushing USDJPY 2014-06-11 17:17:32.340
pushing USDJPY 2014-06-11 17:17:32.683
pushing USDJPY 2014-06-11 17:17:36.120
pushing USDJPY 2014-06-11 17:17:37.840
pushing USDJPY 2014-06-11 17:17:57.107
pushing USDJPY 2014-06-11 17:17:57.447
pushing USDJPY 2014-06-11 17:17:57.807
pushing USDJPY 2014-06-11 17:18:06.043
pushing USDJPY 2014-06-11 17:19:05.510
pushing USDJPY 2014-06-11 17:19:05.853
pushing USDJPY 2014-06-11 17:19:15.463
